"Majority.protein.IDs","Protein.IDs","Peptide.counts..unique.","NObs_NoMineral","NObs_Mineral","Mean_NoMineral","Mean_Mineral","pvalue_Gtest_MvsNoM","pvalue_ANOVA_MvsNoM","Log2FC_MvsNoM","Flag_0.05_ANOVA_MvsNoM","Flag_0.05_Gtest_MvsNoM","Neg_Log10_pvalue"
"1211-5871_t_tx1;tr|A0A420U917|A0A420U917_FUSOX;tr|A0A420NHP7|A0A420NHP7_FUSOX;tr|A0A2H3T003|A0A2H3T003_FUSOX;tr|A0A420P1T2|A0A420P1T2_FUSOX","1211-5871_t_tx1;tr|A0A420U917|A0A420U917_FUSOX;tr|A0A420NHP7|A0A420NHP7_FUSOX;tr|A0A2H3T003|A0A2H3T003_FUSOX;tr|A0A420P1T2|A0A420P1T2_FUSOX;tr|K3V0E8|K3V0E8_FUSPC;tr|I1S0W3|I1S0W3_GIBZE","16;9;9;9;8;2;2",3,3,27.2050968246521,22.5566859214425,1,0.00709295720042879,-4.64841090320959,-1,0,2.14917266071733
"1214-7821_t_tx1","1214-7821_t_tx1","8",3,3,23.9942508109611,25.763186218006,1,0.0157173873680426,1.76893540704484,1,0,1.80361964315292
"1216-7114_t_tx1","1216-7114_t_tx1;tr|A0A420NMX7|A0A420NMX7_FUSOX;tr|A0A2H3TK02|A0A2H3TK02_FUSOX;tr|K3VT26|K3VT26_FUSPC;tr|I1RPZ8|I1RPZ8_GIBZE","5;2;2;2;2",3,3,24.7532208635141,25.581651577109,1,0.077472019186486,0.828430713594884,0,0,1.11085512468229
"1216-7119_t_tx1","1216-7119_t_tx1;tr|K3V166|K3V166_FUSPC;tr|I1RQ01|I1RQ01_GIBZE","16;0;0",3,3,29.7532389025561,30.6329571675059,1,0.251509129382917,0.879718264949773,0,0,0.599446246120323
"1220-3203_t_tx1;tr|A0A420R5U3|A0A420R5U3_FUSOX;tr|A0A420NHB3|A0A420NHB3_FUSOX;tr|K3VY76|K3VY76_FUSPC;tr|A0A2H3TR14|A0A2H3TR14_FUSOX","1220-3203_t_tx1;tr|A0A420R5U3|A0A420R5U3_FUSOX;tr|A0A420NHB3|A0A420NHB3_FUSOX;tr|K3VY76|K3VY76_FUSPC;tr|A0A2H3TR14|A0A2H3TR14_FUSOX","6;2;2;0;2",3,3,27.1198874884971,27.5154007564597,1,0.435518570665715,0.395513267962585,0,0,0.360993321791352
"1220-3204_t_tx1;tr|A0A2H3TAV7|A0A2H3TAV7_FUSOX;tr|K3UEU2|K3UEU2_FUSPC;tr|I1RY58|I1RY58_GIBZE","1220-3204_t_tx1;tr|A0A2H3TAV7|A0A2H3TAV7_FUSOX;tr|K3UEU2|K3UEU2_FUSPC;tr|I1RY58|I1RY58_GIBZE","8;7;4;4",3,3,27.6196959385433,27.0313843879918,1,0.408467721565391,-0.588311550551463,0,0,0.388842257123997
"1221-2514_t_tx1;tr|A0A420PM19|A0A420PM19_FUSOX;tr|A0A420PDM1|A0A420PDM1_FUSOX;tr|A0A2H3T499|A0A2H3T499_FUSOX","1221-2514_t_tx1;tr|A0A420PM19|A0A420PM19_FUSOX;tr|A0A420PDM1|A0A420PDM1_FUSOX;tr|A0A2H3T499|A0A2H3T499_FUSOX;tr|K3VMY4|K3VMY4_FUSPC;tr|A0A1C3YKU8|A0A1C3YKU8_GIBZE","34;25;25;25;16;16",3,3,29.3013415620849,28.3111780988866,1,0.0900198781832203,-0.990163463198286,0,0,1.04566157909351
"1221-826_t_tx1;tr|A0A2H3T8B2|A0A2H3T8B2_FUSOX;tr|A0A420QK35|A0A420QK35_FUSOX;tr|A0A420N719|A0A420N719_FUSOX;tr|K3UKJ7|K3UKJ7_FUSPC","1221-826_t_tx1;tr|A0A2H3T8B2|A0A2H3T8B2_FUSOX;tr|A0A420QK35|A0A420QK35_FUSOX;tr|A0A420N719|A0A420N719_FUSOX;tr|K3UKJ7|K3UKJ7_FUSPC;tr|I1RMT6|I1RMT6_GIBZE","12;10;9;9;6;5",3,1,NA,NA,0.05067190234699,NA,NA,0,0,NA
"1221-827_t_tx1;tr|A0A420QK87|A0A420QK87_FUSOX;tr|A0A2H3T8E4|A0A2H3T8E4_FUSOX","1221-827_t_tx1;tr|A0A420QK87|A0A420QK87_FUSOX;tr|A0A2H3T8E4|A0A2H3T8E4_FUSOX;tr|I1RMT5|I1RMT5_GIBZE;tr|K3VEI7|K3VEI7_FUSPC","15;10;10;1;1",3,3,26.5123200242658,24.9509108654977,1,0.17157089631329,-1.56140915876808,0,0,0.765556379905204
"1221-828_t_tx1;tr|A0A2H3TGU2|A0A2H3TGU2_FUSOX;tr|V6RB81|V6RB81_GIBZE;tr|K3VHN4|K3VHN4_FUSPC","1221-828_t_tx1;tr|A0A2H3TGU2|A0A2H3TGU2_FUSOX;tr|V6RB81|V6RB81_GIBZE;tr|K3VHN4|K3VHN4_FUSPC","18;17;13;13",3,3,29.6933423186579,28.1260849324859,1,0.216697134733763,-1.56725738617203,0,0,0.664146831077703
