"Majority.protein.IDs","no_mineral_MPLEx_01","no_mineral_MPLEx_02","no_mineral_MPLEx_03","mineral_MPLEx_01","mineral_MPLEx_02","mineral_MPLEx_03"
"1020-6081_t_tx3",23.2382250968808,21.0375473906358,21.6626134543075,26.4898323368091,26.0740232009644,24.6666489963397
"1021-14371_t_tx1",25.554410625815,24.7090264857776,25.2867643043496,25.3308555530171,25.558301725939,24.8268185469869
"1021-14373_t_tx1;tr|A0A2H3TWW2|A0A2H3TWW2_FUSOX;tr|A0A420QR46|A0A420QR46_FUSOX;tr|A0A420Q2K5|A0A420Q2K5_FUSOX",32.5962466532162,31.7525490893954,32.5676672033579,32.8956018490183,31.9492847139603,31.5874783790789
"1021-14375_t_tx1",28.8365655348182,29.4762114278185,28.8053073004409,29.9716527429097,29.6715812787447,29.3205121272226
"1021-14386_t_tx1;tr|A0A2H3TKV1|A0A2H3TKV1_FUSOX;tr|A0A420QR69|A0A420QR69_FUSOX",NA,NA,22.6856380095561,22.828886732931,24.8257451857892,26.2206439452503
"1021-14387_t_tx1;tr|A0A420U5S4|A0A420U5S4_FUSOX;tr|A0A420QQK9|A0A420QQK9_FUSOX;tr|A0A2H3TKX8|A0A2H3TKX8_FUSOX",23.2888842296727,20.5414455133695,NA,NA,23.5001573873221,24.378975128134
"1022-8604_t_tx1;tr|A0A2H3TF11|A0A2H3TF11_FUSOX;tr|A0A420MWJ3|A0A420MWJ3_FUSOX;tr|A0A420Q240|A0A420Q240_FUSOX",26.9734852515684,29.1656829692173,27.2991873267822,23.9938844554672,24.8380386588865,26.2345012349649
"1022-8606_t_tx1;tr|A0A420TSS2|A0A420TSS2_FUSOX;tr|A0A2H3TEW7|A0A2H3TEW7_FUSOX;tr|K3VAV5|K3VAV5_FUSPC;tr|I1RX90|I1RX90_GIBZE",27.9640154498185,27.3940155860187,28.2018376707666,25.9230694364312,25.9731681232601,28.1083849058627
"1023-10824_t_tx1",32.4715994929741,33.0563743335702,31.9724899324697,28.6735218760669,28.0077309863439,30.9281266671222
"1024-1056_t_tx1",21.4875592020252,24.5602567918713,NA,23.5527754802176,22.6379421872345,23.9147389666672
"1024-1057_t_tx1",19.6106024926703,NA,24.0712364495721,22.3516928072998,24.80339894764,22.664619064464
"1024-1063_t_tx1",23.2776296541169,22.5501206483722,24.3040936110061,23.7168022337598,NA,24.9197693815153
"1024-1064_t_tx1",23.7425352605964,22.9524330813299,22.2415593332535,NA,NA,25.1039719255601
"1026-11907_t_tx1;tr|A0A2H3TQL8|A0A2H3TQL8_FUSOX;tr|A0A420PJH3|A0A420PJH3_FUSOX;tr|V6RDP1|V6RDP1_GIBZE;tr|K3VEF5|K3VEF5_FUSPC",29.8132464150961,29.1421364210366,29.0915237175864,30.8272363395009,29.5445243630969,27.5808496953422
"1026-11909_t_tx1;tr|A0A420TQM2|A0A420TQM2_FUSOX;tr|A0A420PJH5|A0A420PJH5_FUSOX;tr|A0A420P6M7|A0A420P6M7_FUSOX;tr|A0A2H3U697|A0A2H3U697_FUSOX",21.245090379822,22.0482130355016,NA,21.7890026483883,22.5949732670671,NA
"1026-9457_t_tx1;tr|A0A2H3T7Z9|A0A2H3T7Z9_FUSOX;tr|A0A420N9C4|A0A420N9C4_FUSOX;tr|A0A420R2Z6|A0A420R2Z6_FUSOX;tr|A0A1C3YKY9|A0A1C3YKY9_GIBZE",25.8547100230492,26.8495200829388,26.4951169582363,27.9014446214378,27.8048212258904,26.7451421386317
"1026-9459_t_tx1;tr|K3VPK0|K3VPK0_FUSPC;tr|I1RSM2|I1RSM2_GIBZE;tr|A0A420R313|A0A420R313_FUSOX;tr|A0A2H3T4X8|A0A2H3T4X8_FUSOX",25.7229517196451,25.8836961636781,22.7920196413049,23.2786786412939,NA,25.4240565108414
"tr|A0A420SGW6|A0A420SGW6_FUSOX;tr|A0A420PVH9|A0A420PVH9_FUSOX;tr|A0A420N574|A0A420N574_FUSOX;tr|A0A2H3SM71|A0A2H3SM71_FUSOX;1028-6000_t_tx1",21.4748852665554,21.2804097889486,23.2434755386682,23.1371348775676,24.0205613627733,22.0987331794036
"1028-6002_t_tx1",22.5413204035581,23.5067159639616,24.6946477308576,26.4646630807946,25.524672100967,24.8830442519796
"tr|K3VU14|K3VU14_FUSPC;tr|I1RD39|I1RD39_GIBZE;tr|A0A2H3TEX3|A0A2H3TEX3_FUSOX;1028-6505_t_tx1",25.0154864212751,24.9031642784656,24.9026524721166,22.2249851755252,NA,23.1277439228384
"1028-6506_t_tx1;tr|A0A420NRS6|A0A420NRS6_FUSOX;tr|A0A2H3SV62|A0A2H3SV62_FUSOX;tr|K3W3A5|K3W3A5_FUSPC;tr|I1RD38|I1RD38_GIBZE;tr|A0A420TCC0|A0A420TCC0_FUSOX;tr|A0A420QXF2|A0A420QXF2_FUSOX",27.4271752858141,26.9204425537526,27.8649898260076,27.7012299264945,28.2114645576706,28.6276350162072
"1028-6510_t_tx1;tr|A0A2H3SV09|A0A2H3SV09_FUSOX;tr|I1RD35|I1RD35_GIBZE",23.937853342841,24.4178185180545,22.2696702643897,29.0149257645217,29.8097060573908,23.7811130596463
"tr|V6QX58|V6QX58_GIBZE;tr|K3VK85|K3VK85_FUSPC;tr|A0A420TC69|A0A420TC69_FUSOX;tr|A0A420S3X8|A0A420S3X8_FUSOX;tr|A0A420NRI7|A0A420NRI7_FUSOX;tr|A0A2H3SV48|A0A2H3SV48_FUSOX;1028-6511_t_tx1",23.3363326020898,23.1631115811611,21.9375184912503,NA,NA,23.1999687136979
"1028-6514_t_tx1;tr|A0A2H3TEW3|A0A2H3TEW3_FUSOX;tr|K3W0W2|K3W0W2_FUSPC;tr|A0A1C3YIS7|A0A1C3YIS7_GIBZE",30.6427766129753,30.5869496109422,30.5953640897117,30.7791514814496,30.1938335489489,30.6291915942785
"1028-6519_t_tx1;tr|A0A420TCA5|A0A420TCA5_FUSOX;tr|A0A420S396|A0A420S396_FUSOX;tr|A0A420NRT8|A0A420NRT8_FUSOX;tr|A0A2H3SUZ8|A0A2H3SUZ8_FUSOX",23.6794423128604,23.3518086017131,24.2293107393765,25.406805479576,25.6009750134052,24.7866307309338
"1028-6522_t_tx1",28.7343211910272,28.338142816325,28.9881763329416,30.0370635845798,30.0467561433259,29.9207832673201
"tr|A0A2H3T6G4|A0A2H3T6G4_FUSOX;1028-6523_t_tx1;tr|K3VJI2|K3VJI2_FUSPC;tr|I1RCZ9|I1RCZ9_GIBZE",24.8783309272432,26.1500699100269,NA,24.4638807547582,NA,25.1608953936044
"1030-1096_t_tx1",NA,NA,21.8908406695951,28.1446841844633,28.9306181999769,25.2912335024459
"1031-17013_t_tx1;tr|A0A2H3T7R7|A0A2H3T7R7_FUSOX",25.9146282240155,26.545254944644,25.150596434346,27.148726681866,27.6376877457038,26.4622658466102
"1031-17014_t_tx1;tr|A0A420SX24|A0A420SX24_FUSOX;tr|A0A2H3SS46|A0A2H3SS46_FUSOX;tr|K3VY17|K3VY17_FUSPC;tr|I1RBA4|I1RBA4_GIBZE",25.6310750563165,26.7666975888452,25.9046200606661,26.0971165057286,25.0588655608357,26.6758799652199
"1033-18282_t_tx1;tr|A0A420RJ10|A0A420RJ10_FUSOX;tr|A0A420QHE7|A0A420QHE7_FUSOX;tr|V6RCJ5|V6RCJ5_GIBZE",27.027725639864,27.9676361642967,27.1244911649118,27.6117265945405,28.1953667209284,26.7668732730833
"1033-18283_t_tx1;tr|A0A2H3TK54|A0A2H3TK54_FUSOX;tr|A0A420RIZ0|A0A420RIZ0_FUSOX;tr|A0A420QHF6|A0A420QHF6_FUSOX;tr|A0A420MLW9|A0A420MLW9_FUSOX;tr|A0A420QWD6|A0A420QWD6_FUSOX",21.7996675014391,21.9340103554669,NA,23.5279705954657,23.0154428966305,23.4875920831874
"1034-11875_t_tx3",22.2938741629092,23.4765239344866,23.1777209908965,24.7684662852953,24.8920986320841,24.0164160342248
