"Majority.protein.IDs","SampleID","value","Group","Protein"
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","no_mineral_MPLEx_01",25.8895995128445,"No Mineral","1008-4259_t_tx1"
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","no_mineral_MPLEx_02",27.6449026579389,"No Mineral","1008-4259_t_tx1"
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","no_mineral_MPLEx_03",23.9502989037707,"No Mineral","1008-4259_t_tx1"
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","mineral_MPLEx_01",28.1620812346978,"Mineral","1008-4259_t_tx1"
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","mineral_MPLEx_02",27.3164101222581,"Mineral","1008-4259_t_tx1"
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","mineral_MPLEx_03",25.8215941990695,"Mineral","1008-4259_t_tx1"
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","no_mineral_MPLEx_01",27.70641371926,"No Mineral","1009-1228_t_tx1"
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","no_mineral_MPLEx_02",28.1393809903455,"No Mineral","1009-1228_t_tx1"
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","no_mineral_MPLEx_03",27.4090926435269,"No Mineral","1009-1228_t_tx1"
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","mineral_MPLEx_01",28.3090288715112,"Mineral","1009-1228_t_tx1"
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","mineral_MPLEx_02",28.4201931435643,"Mineral","1009-1228_t_tx1"
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","mineral_MPLEx_03",28.194414667237,"Mineral","1009-1228_t_tx1"
"1009-1231_t_tx1","no_mineral_MPLEx_01",26.3111333632548,"No Mineral","1009-1231_t_tx1"
"1009-1231_t_tx1","no_mineral_MPLEx_02",23.9748405991936,"No Mineral","1009-1231_t_tx1"
"1009-1231_t_tx1","no_mineral_MPLEx_03",28.0723760521066,"No Mineral","1009-1231_t_tx1"
"1009-1231_t_tx1","mineral_MPLEx_01",27.9195805175827,"Mineral","1009-1231_t_tx1"
"1009-1231_t_tx1","mineral_MPLEx_02",29.6739801032227,"Mineral","1009-1231_t_tx1"
"1009-1231_t_tx1","mineral_MPLEx_03",27.9073335940439,"Mineral","1009-1231_t_tx1"
"1009-1233_t_tx1;tr|A0A2H3THR8|A0A2H3THR8_FUSOX;tr|A0A420TT10|A0A420TT10_FUSOX;tr|A0A420P3W0|A0A420P3W0_FUSOX;tr|I1RX63|I1RX63_GIBZE;tr|K3VFG3|K3VFG3_FUSPC","no_mineral_MPLEx_01",26.7983314552772,"No Mineral","1009-1233_t_tx1"
"1009-1233_t_tx1;tr|A0A2H3THR8|A0A2H3THR8_FUSOX;tr|A0A420TT10|A0A420TT10_FUSOX;tr|A0A420P3W0|A0A420P3W0_FUSOX;tr|I1RX63|I1RX63_GIBZE;tr|K3VFG3|K3VFG3_FUSPC","no_mineral_MPLEx_02",26.0466898738088,"No Mineral","1009-1233_t_tx1"
"1009-1233_t_tx1;tr|A0A2H3THR8|A0A2H3THR8_FUSOX;tr|A0A420TT10|A0A420TT10_FUSOX;tr|A0A420P3W0|A0A420P3W0_FUSOX;tr|I1RX63|I1RX63_GIBZE;tr|K3VFG3|K3VFG3_FUSPC","no_mineral_MPLEx_03",26.9385340044653,"No Mineral","1009-1233_t_tx1"
"1009-1233_t_tx1;tr|A0A2H3THR8|A0A2H3THR8_FUSOX;tr|A0A420TT10|A0A420TT10_FUSOX;tr|A0A420P3W0|A0A420P3W0_FUSOX;tr|I1RX63|I1RX63_GIBZE;tr|K3VFG3|K3VFG3_FUSPC","mineral_MPLEx_01",25.2532041547756,"Mineral","1009-1233_t_tx1"
"1009-1233_t_tx1;tr|A0A2H3THR8|A0A2H3THR8_FUSOX;tr|A0A420TT10|A0A420TT10_FUSOX;tr|A0A420P3W0|A0A420P3W0_FUSOX;tr|I1RX63|I1RX63_GIBZE;tr|K3VFG3|K3VFG3_FUSPC","mineral_MPLEx_02",NA,"Mineral","1009-1233_t_tx1"
"1009-1233_t_tx1;tr|A0A2H3THR8|A0A2H3THR8_FUSOX;tr|A0A420TT10|A0A420TT10_FUSOX;tr|A0A420P3W0|A0A420P3W0_FUSOX;tr|I1RX63|I1RX63_GIBZE;tr|K3VFG3|K3VFG3_FUSPC","mineral_MPLEx_03",24.5225408883102,"Mineral","1009-1233_t_tx1"
"tr|K3W3G3|K3W3G3_FUSPC;tr|I1S051|I1S051_GIBZE;tr|A0A2H3SN91|A0A2H3SN91_FUSOX;1009-4711_t_tx1","no_mineral_MPLEx_01",25.5884236197121,"No Mineral","1009-4711_t_tx1"
"tr|K3W3G3|K3W3G3_FUSPC;tr|I1S051|I1S051_GIBZE;tr|A0A2H3SN91|A0A2H3SN91_FUSOX;1009-4711_t_tx1","no_mineral_MPLEx_02",26.0243928878455,"No Mineral","1009-4711_t_tx1"
"tr|K3W3G3|K3W3G3_FUSPC;tr|I1S051|I1S051_GIBZE;tr|A0A2H3SN91|A0A2H3SN91_FUSOX;1009-4711_t_tx1","no_mineral_MPLEx_03",25.3386021089262,"No Mineral","1009-4711_t_tx1"
"tr|K3W3G3|K3W3G3_FUSPC;tr|I1S051|I1S051_GIBZE;tr|A0A2H3SN91|A0A2H3SN91_FUSOX;1009-4711_t_tx1","mineral_MPLEx_01",25.5310417980404,"Mineral","1009-4711_t_tx1"
"tr|K3W3G3|K3W3G3_FUSPC;tr|I1S051|I1S051_GIBZE;tr|A0A2H3SN91|A0A2H3SN91_FUSOX;1009-4711_t_tx1","mineral_MPLEx_02",24.6309867449661,"Mineral","1009-4711_t_tx1"
"tr|K3W3G3|K3W3G3_FUSPC;tr|I1S051|I1S051_GIBZE;tr|A0A2H3SN91|A0A2H3SN91_FUSOX;1009-4711_t_tx1","mineral_MPLEx_03",25.7843100724677,"Mineral","1009-4711_t_tx1"
"tr|K3V296|K3V296_FUSPC;tr|I1S050|I1S050_GIBZE;tr|A0A2H3SMD4|A0A2H3SMD4_FUSOX;1009-4712_t_tx1","no_mineral_MPLEx_01",28.3615149531788,"No Mineral","1009-4712_t_tx1"
"tr|K3V296|K3V296_FUSPC;tr|I1S050|I1S050_GIBZE;tr|A0A2H3SMD4|A0A2H3SMD4_FUSOX;1009-4712_t_tx1","no_mineral_MPLEx_02",28.1383685016795,"No Mineral","1009-4712_t_tx1"
"tr|K3V296|K3V296_FUSPC;tr|I1S050|I1S050_GIBZE;tr|A0A2H3SMD4|A0A2H3SMD4_FUSOX;1009-4712_t_tx1","no_mineral_MPLEx_03",28.168109544587,"No Mineral","1009-4712_t_tx1"
"tr|K3V296|K3V296_FUSPC;tr|I1S050|I1S050_GIBZE;tr|A0A2H3SMD4|A0A2H3SMD4_FUSOX;1009-4712_t_tx1","mineral_MPLEx_01",26.3921566774351,"Mineral","1009-4712_t_tx1"
"tr|K3V296|K3V296_FUSPC;tr|I1S050|I1S050_GIBZE;tr|A0A2H3SMD4|A0A2H3SMD4_FUSOX;1009-4712_t_tx1","mineral_MPLEx_02",25.9778904136761,"Mineral","1009-4712_t_tx1"
"tr|K3V296|K3V296_FUSPC;tr|I1S050|I1S050_GIBZE;tr|A0A2H3SMD4|A0A2H3SMD4_FUSOX;1009-4712_t_tx1","mineral_MPLEx_03",27.2490263038831,"Mineral","1009-4712_t_tx1"
"1009-4715_t_tx1;tr|A0A2H3SW73|A0A2H3SW73_FUSOX","no_mineral_MPLEx_01",25.3622238401912,"No Mineral","1009-4715_t_tx1"
"1009-4715_t_tx1;tr|A0A2H3SW73|A0A2H3SW73_FUSOX","no_mineral_MPLEx_02",26.9571377571575,"No Mineral","1009-4715_t_tx1"
"1009-4715_t_tx1;tr|A0A2H3SW73|A0A2H3SW73_FUSOX","no_mineral_MPLEx_03",26.8659198315122,"No Mineral","1009-4715_t_tx1"
"1009-4715_t_tx1;tr|A0A2H3SW73|A0A2H3SW73_FUSOX","mineral_MPLEx_01",26.5402851602344,"Mineral","1009-4715_t_tx1"
"1009-4715_t_tx1;tr|A0A2H3SW73|A0A2H3SW73_FUSOX","mineral_MPLEx_02",23.5896067099568,"Mineral","1009-4715_t_tx1"
"1009-4715_t_tx1;tr|A0A2H3SW73|A0A2H3SW73_FUSOX","mineral_MPLEx_03",26.0563211199083,"Mineral","1009-4715_t_tx1"
"1009-4721_t_tx1;tr|A0A2H3SMF4|A0A2H3SMF4_FUSOX;tr|A0A420NSB8|A0A420NSB8_FUSOX;tr|A0A420P5X3|A0A420P5X3_FUSOX","no_mineral_MPLEx_01",26.8987940670598,"No Mineral","1009-4721_t_tx1"
"1009-4721_t_tx1;tr|A0A2H3SMF4|A0A2H3SMF4_FUSOX;tr|A0A420NSB8|A0A420NSB8_FUSOX;tr|A0A420P5X3|A0A420P5X3_FUSOX","no_mineral_MPLEx_02",25.839773993878,"No Mineral","1009-4721_t_tx1"
"1009-4721_t_tx1;tr|A0A2H3SMF4|A0A2H3SMF4_FUSOX;tr|A0A420NSB8|A0A420NSB8_FUSOX;tr|A0A420P5X3|A0A420P5X3_FUSOX","no_mineral_MPLEx_03",26.4732086326012,"No Mineral","1009-4721_t_tx1"
"1009-4721_t_tx1;tr|A0A2H3SMF4|A0A2H3SMF4_FUSOX;tr|A0A420NSB8|A0A420NSB8_FUSOX;tr|A0A420P5X3|A0A420P5X3_FUSOX","mineral_MPLEx_01",23.0792270838455,"Mineral","1009-4721_t_tx1"
"1009-4721_t_tx1;tr|A0A2H3SMF4|A0A2H3SMF4_FUSOX;tr|A0A420NSB8|A0A420NSB8_FUSOX;tr|A0A420P5X3|A0A420P5X3_FUSOX","mineral_MPLEx_02",23.0095913283694,"Mineral","1009-4721_t_tx1"
"1009-4721_t_tx1;tr|A0A2H3SMF4|A0A2H3SMF4_FUSOX;tr|A0A420NSB8|A0A420NSB8_FUSOX;tr|A0A420P5X3|A0A420P5X3_FUSOX","mineral_MPLEx_03",25.9057732243126,"Mineral","1009-4721_t_tx1"
"1009-4726_t_tx1;tr|K3W3G6|K3W3G6_FUSPC;tr|I1S038|I1S038_GIBZE;tr|A0A2H3SMJ0|A0A2H3SMJ0_FUSOX","no_mineral_MPLEx_01",25.4386588724994,"No Mineral","1009-4726_t_tx1"
"1009-4726_t_tx1;tr|K3W3G6|K3W3G6_FUSPC;tr|I1S038|I1S038_GIBZE;tr|A0A2H3SMJ0|A0A2H3SMJ0_FUSOX","no_mineral_MPLEx_02",25.5933514870836,"No Mineral","1009-4726_t_tx1"
"1009-4726_t_tx1;tr|K3W3G6|K3W3G6_FUSPC;tr|I1S038|I1S038_GIBZE;tr|A0A2H3SMJ0|A0A2H3SMJ0_FUSOX","no_mineral_MPLEx_03",27.060379099053,"No Mineral","1009-4726_t_tx1"
"1009-4726_t_tx1;tr|K3W3G6|K3W3G6_FUSPC;tr|I1S038|I1S038_GIBZE;tr|A0A2H3SMJ0|A0A2H3SMJ0_FUSOX","mineral_MPLEx_01",27.8874958527168,"Mineral","1009-4726_t_tx1"
"1009-4726_t_tx1;tr|K3W3G6|K3W3G6_FUSPC;tr|I1S038|I1S038_GIBZE;tr|A0A2H3SMJ0|A0A2H3SMJ0_FUSOX","mineral_MPLEx_02",28.9570921279014,"Mineral","1009-4726_t_tx1"
"1009-4726_t_tx1;tr|K3W3G6|K3W3G6_FUSPC;tr|I1S038|I1S038_GIBZE;tr|A0A2H3SMJ0|A0A2H3SMJ0_FUSOX","mineral_MPLEx_03",26.6600982042344,"Mineral","1009-4726_t_tx1"
"1009-4730_t_tx1;tr|V6RXE7|V6RXE7_GIBZE;tr|K3W1I4|K3W1I4_FUSPC;tr|A0A2H3SW90|A0A2H3SW90_FUSOX;tr|A0A420SA67|A0A420SA67_FUSOX;tr|A0A420QF79|A0A420QF79_FUSOX","no_mineral_MPLEx_01",23.5292513441524,"No Mineral","1009-4730_t_tx1"
"1009-4730_t_tx1;tr|V6RXE7|V6RXE7_GIBZE;tr|K3W1I4|K3W1I4_FUSPC;tr|A0A2H3SW90|A0A2H3SW90_FUSOX;tr|A0A420SA67|A0A420SA67_FUSOX;tr|A0A420QF79|A0A420QF79_FUSOX","no_mineral_MPLEx_02",25.438778056451,"No Mineral","1009-4730_t_tx1"
"1009-4730_t_tx1;tr|V6RXE7|V6RXE7_GIBZE;tr|K3W1I4|K3W1I4_FUSPC;tr|A0A2H3SW90|A0A2H3SW90_FUSOX;tr|A0A420SA67|A0A420SA67_FUSOX;tr|A0A420QF79|A0A420QF79_FUSOX","no_mineral_MPLEx_03",23.9887284902645,"No Mineral","1009-4730_t_tx1"
"1009-4730_t_tx1;tr|V6RXE7|V6RXE7_GIBZE;tr|K3W1I4|K3W1I4_FUSPC;tr|A0A2H3SW90|A0A2H3SW90_FUSOX;tr|A0A420SA67|A0A420SA67_FUSOX;tr|A0A420QF79|A0A420QF79_FUSOX","mineral_MPLEx_01",NA,"Mineral","1009-4730_t_tx1"
"1009-4730_t_tx1;tr|V6RXE7|V6RXE7_GIBZE;tr|K3W1I4|K3W1I4_FUSPC;tr|A0A2H3SW90|A0A2H3SW90_FUSOX;tr|A0A420SA67|A0A420SA67_FUSOX;tr|A0A420QF79|A0A420QF79_FUSOX","mineral_MPLEx_02",NA,"Mineral","1009-4730_t_tx1"
